Timestamp | Device_ID | Heart_Rate (BPM) | Status
2026-06-05 05:37:57 | WARD_A_HR_01 | 134 | CRITICAL
2026-06-05 05:37:57 | WARD_A_HR_02 | 107 | CRITICAL
2026-06-05 05:37:57 | WARD_A_HR_03 | 109 | CRITICAL
2026-06-05 05:37:57 | WARD_A_HR_04 | 75 | NORMAL
2026-06-05 05:37:57 | WARD_A_HR_05 | 89 | NORMAL
2026-06-05 05:37:58 | WARD_A_HR_01 | 53 | CRITICAL
2026-06-05 05:37:58 | WARD_A_HR_02 | 52 | CRITICAL
2026-06-05 05:37:58 | WARD_A_HR_03 | 83 | NORMAL
2026-06-05 05:37:58 | WARD_A_HR_04 | 106 | CRITICAL
2026-06-05 05:37:58 | WARD_A_HR_05 | 132 | CRITICAL
2026-06-05 05:37:59 | WARD_A_HR_01 | 66 | NORMAL
2026-06-05 05:37:59 | WARD_A_HR_02 | 135 | CRITICAL
2026-06-05 05:37:59 | WARD_A_HR_03 | 142 | CRITICAL
2026-06-05 05:37:59 | WARD_A_HR_04 | 145 | CRITICAL
2026-06-05 05:37:59 | WARD_A_HR_05 | 48 | CRITICAL
2026-06-05 05:38:00 | WARD_A_HR_01 | 47 | CRITICAL
2026-06-05 05:38:00 | WARD_A_HR_02 | 135 | CRITICAL
2026-06-05 05:38:00 | WARD_A_HR_03 | 95 | WARNING
2026-06-05 05:38:00 | WARD_A_HR_04 | 143 | CRITICAL
2026-06-05 05:38:00 | WARD_A_HR_05 | 150 | CRITICAL
2026-06-05 05:38:01 | WARD_A_HR_01 | 128 | CRITICAL
2026-06-05 05:38:01 | WARD_A_HR_02 | 127 | CRITICAL
2026-06-05 05:38:01 | WARD_A_HR_03 | 113 | CRITICAL
2026-06-05 05:38:01 | WARD_A_HR_04 | 95 | WARNING
2026-06-05 05:38:01 | WARD_A_HR_05 | 98 | WARNING
2026-06-05 05:38:02 | WARD_A_HR_01 | 50 | CRITICAL
2026-06-05 05:38:02 | WARD_A_HR_02 | 72 | NORMAL
2026-06-05 05:38:02 | WARD_A_HR_03 | 84 | NORMAL
2026-06-05 05:38:02 | WARD_A_HR_04 | 130 | CRITICAL
2026-06-05 05:38:02 | WARD_A_HR_05 | 95 | WARNING
2026-06-05 05:38:03 | WARD_A_HR_01 | 102 | CRITICAL
2026-06-05 05:38:03 | WARD_A_HR_02 | 82 | NORMAL
2026-06-05 05:38:03 | WARD_A_HR_03 | 87 | NORMAL
2026-06-05 05:38:03 | WARD_A_HR_04 | 58 | CRITICAL
2026-06-05 05:38:03 | WARD_A_HR_05 | 84 | NORMAL
2026-06-05 05:38:04 | WARD_A_HR_01 | 149 | CRITICAL
2026-06-05 05:38:04 | WARD_A_HR_02 | 124 | CRITICAL
2026-06-05 05:38:04 | WARD_A_HR_03 | 105 | CRITICAL
2026-06-05 05:38:04 | WARD_A_HR_04 | 74 | NORMAL
2026-06-05 05:38:04 | WARD_A_HR_05 | 45 | CRITICAL
2026-06-05 05:38:05 | WARD_A_HR_01 | 146 | CRITICAL
2026-06-05 05:38:05 | WARD_A_HR_02 | 67 | NORMAL
2026-06-05 05:38:05 | WARD_A_HR_03 | 60 | NORMAL
2026-06-05 05:38:05 | WARD_A_HR_04 | 89 | NORMAL
2026-06-05 05:38:05 | WARD_A_HR_05 | 124 | CRITICAL
2026-06-05 05:38:06 | WARD_A_HR_01 | 101 | CRITICAL
2026-06-05 05:38:06 | WARD_A_HR_02 | 80 | NORMAL
2026-06-05 05:38:06 | WARD_A_HR_03 | 89 | NORMAL
2026-06-05 05:38:06 | WARD_A_HR_04 | 71 | NORMAL
2026-06-05 05:38:06 | WARD_A_HR_05 | 139 | CRITICAL
2026-06-05 05:38:07 | WARD_A_HR_01 | 93 | WARNING
2026-06-05 05:38:07 | WARD_A_HR_02 | 93 | WARNING
2026-06-05 05:38:07 | WARD_A_HR_03 | 46 | CRITICAL
2026-06-05 05:38:07 | WARD_A_HR_04 | 132 | CRITICAL
2026-06-05 05:38:07 | WARD_A_HR_05 | 52 | CRITICAL
2026-06-05 05:38:08 | WARD_A_HR_01 | 51 | CRITICAL
2026-06-05 05:38:08 | WARD_A_HR_02 | 91 | WARNING
2026-06-05 05:38:08 | WARD_A_HR_03 | 98 | WARNING
2026-06-05 05:38:08 | WARD_A_HR_04 | 112 | CRITICAL
2026-06-05 05:38:08 | WARD_A_HR_05 | 117 | CRITICAL
2026-06-05 05:38:09 | WARD_A_HR_01 | 46 | CRITICAL
2026-06-05 05:38:09 | WARD_A_HR_02 | 131 | CRITICAL
2026-06-05 05:38:09 | WARD_A_HR_03 | 92 | WARNING
2026-06-05 05:38:09 | WARD_A_HR_04 | 107 | CRITICAL
2026-06-05 05:38:09 | WARD_A_HR_05 | 94 | WARNING
2026-06-05 05:38:10 | WARD_A_HR_01 | 146 | CRITICAL
2026-06-05 05:38:10 | WARD_A_HR_02 | 79 | NORMAL
2026-06-05 05:38:10 | WARD_A_HR_03 | 146 | CRITICAL
2026-06-05 05:38:10 | WARD_A_HR_04 | 134 | CRITICAL
2026-06-05 05:38:10 | WARD_A_HR_05 | 106 | CRITICAL
2026-06-05 05:38:11 | WARD_A_HR_01 | 85 | NORMAL
2026-06-05 05:38:11 | WARD_A_HR_02 | 74 | NORMAL
2026-06-05 05:38:11 | WARD_A_HR_03 | 99 | WARNING
2026-06-05 05:38:11 | WARD_A_HR_04 | 138 | CRITICAL
2026-06-05 05:38:11 | WARD_A_HR_05 | 116 | CRITICAL
2026-06-05 05:38:12 | WARD_A_HR_01 | 100 | WARNING
2026-06-05 05:38:12 | WARD_A_HR_02 | 122 | CRITICAL
2026-06-05 05:38:12 | WARD_A_HR_03 | 144 | CRITICAL
2026-06-05 05:38:12 | WARD_A_HR_04 | 85 | NORMAL
2026-06-05 05:38:12 | WARD_A_HR_05 | 139 | CRITICAL
2026-06-05 05:38:13 | WARD_A_HR_01 | 103 | CRITICAL
2026-06-05 05:38:13 | WARD_A_HR_02 | 104 | CRITICAL
2026-06-05 05:38:13 | WARD_A_HR_03 | 77 | NORMAL
2026-06-05 05:38:13 | WARD_A_HR_04 | 78 | NORMAL
2026-06-05 05:38:13 | WARD_A_HR_05 | 120 | CRITICAL
2026-06-05 05:38:14 | WARD_A_HR_01 | 62 | NORMAL
2026-06-05 05:38:14 | WARD_A_HR_02 | 60 | NORMAL
2026-06-05 05:38:14 | WARD_A_HR_03 | 104 | CRITICAL
2026-06-05 05:38:14 | WARD_A_HR_04 | 84 | NORMAL
2026-06-05 05:38:14 | WARD_A_HR_05 | 52 | CRITICAL
2026-06-05 05:38:15 | WARD_A_HR_01 | 111 | CRITICAL
2026-06-05 05:38:15 | WARD_A_HR_02 | 147 | CRITICAL
2026-06-05 05:38:15 | WARD_A_HR_03 | 46 | CRITICAL
2026-06-05 05:38:15 | WARD_A_HR_04 | 48 | CRITICAL
2026-06-05 05:38:15 | WARD_A_HR_05 | 58 | CRITICAL
2026-06-05 05:38:16 | WARD_A_HR_01 | 79 | NORMAL
2026-06-05 05:38:16 | WARD_A_HR_02 | 129 | CRITICAL
2026-06-05 05:38:16 | WARD_A_HR_03 | 137 | CRITICAL
2026-06-05 05:38:16 | WARD_A_HR_04 | 145 | CRITICAL
2026-06-05 05:38:16 | WARD_A_HR_05 | 126 | CRITICAL
2026-06-05 05:38:17 | WARD_A_HR_01 | 117 | CRITICAL
2026-06-05 05:38:17 | WARD_A_HR_02 | 73 | NORMAL
2026-06-05 05:38:17 | WARD_A_HR_03 | 96 | WARNING
2026-06-05 05:38:17 | WARD_A_HR_04 | 99 | WARNING
2026-06-05 05:38:17 | WARD_A_HR_05 | 149 | CRITICAL
2026-06-05 05:38:18 | WARD_A_HR_01 | 58 | CRITICAL
2026-06-05 05:38:18 | WARD_A_HR_02 | 133 | CRITICAL
2026-06-05 05:38:18 | WARD_A_HR_03 | 132 | CRITICAL
2026-06-05 05:38:18 | WARD_A_HR_04 | 129 | CRITICAL
2026-06-05 05:38:18 | WARD_A_HR_05 | 98 | WARNING
2026-06-05 05:38:19 | WARD_A_HR_01 | 144 | CRITICAL
2026-06-05 05:38:19 | WARD_A_HR_02 | 95 | WARNING
2026-06-05 05:38:19 | WARD_A_HR_03 | 89 | NORMAL
2026-06-05 05:38:19 | WARD_A_HR_04 | 51 | CRITICAL
2026-06-05 05:38:19 | WARD_A_HR_05 | 63 | NORMAL
2026-06-05 05:38:20 | WARD_A_HR_01 | 56 | CRITICAL
2026-06-05 05:38:20 | WARD_A_HR_02 | 104 | CRITICAL
2026-06-05 05:38:20 | WARD_A_HR_03 | 55 | CRITICAL
2026-06-05 05:38:20 | WARD_A_HR_04 | 116 | CRITICAL
2026-06-05 05:38:20 | WARD_A_HR_05 | 148 | CRITICAL
2026-06-05 05:38:21 | WARD_A_HR_01 | 60 | NORMAL
2026-06-05 05:38:21 | WARD_A_HR_02 | 89 | NORMAL
2026-06-05 05:38:21 | WARD_A_HR_03 | 55 | CRITICAL
2026-06-05 05:38:21 | WARD_A_HR_04 | 70 | NORMAL
2026-06-05 05:38:21 | WARD_A_HR_05 | 99 | WARNING
2026-06-05 05:38:22 | WARD_A_HR_01 | 68 | NORMAL
2026-06-05 05:38:22 | WARD_A_HR_02 | 94 | WARNING
2026-06-05 05:38:22 | WARD_A_HR_03 | 101 | CRITICAL
2026-06-05 05:38:22 | WARD_A_HR_04 | 68 | NORMAL
2026-06-05 05:38:22 | WARD_A_HR_05 | 57 | CRITICAL
2026-06-05 05:38:23 | WARD_A_HR_01 | 46 | CRITICAL
2026-06-05 05:38:23 | WARD_A_HR_02 | 145 | CRITICAL
2026-06-05 05:38:23 | WARD_A_HR_03 | 79 | NORMAL
2026-06-05 05:38:23 | WARD_A_HR_04 | 95 | WARNING
2026-06-05 05:38:23 | WARD_A_HR_05 | 86 | NORMAL
2026-06-05 05:38:24 | WARD_A_HR_01 | 131 | CRITICAL
2026-06-05 05:38:24 | WARD_A_HR_02 | 81 | NORMAL
2026-06-05 05:38:24 | WARD_A_HR_03 | 108 | CRITICAL
2026-06-05 05:38:24 | WARD_A_HR_04 | 59 | CRITICAL
2026-06-05 05:38:24 | WARD_A_HR_05 | 125 | CRITICAL
2026-06-05 05:38:25 | WARD_A_HR_01 | 47 | CRITICAL
2026-06-05 05:38:25 | WARD_A_HR_02 | 82 | NORMAL
2026-06-05 05:38:25 | WARD_A_HR_03 | 80 | NORMAL
2026-06-05 05:38:25 | WARD_A_HR_04 | 48 | CRITICAL
2026-06-05 05:38:25 | WARD_A_HR_05 | 104 | CRITICAL
2026-06-05 05:38:26 | WARD_A_HR_01 | 99 | WARNING
2026-06-05 05:38:26 | WARD_A_HR_02 | 146 | CRITICAL
2026-06-05 05:38:26 | WARD_A_HR_03 | 54 | CRITICAL
2026-06-05 05:38:26 | WARD_A_HR_04 | 91 | WARNING
2026-06-05 05:38:26 | WARD_A_HR_05 | 80 | NORMAL
2026-06-05 05:38:27 | WARD_A_HR_01 | 117 | CRITICAL
2026-06-05 05:38:27 | WARD_A_HR_02 | 107 | CRITICAL
2026-06-05 05:38:27 | WARD_A_HR_03 | 125 | CRITICAL
2026-06-05 05:38:27 | WARD_A_HR_04 | 149 | CRITICAL
2026-06-05 05:38:27 | WARD_A_HR_05 | 139 | CRITICAL
2026-06-05 05:38:28 | WARD_A_HR_01 | 112 | CRITICAL
2026-06-05 05:38:28 | WARD_A_HR_02 | 73 | NORMAL
2026-06-05 05:38:28 | WARD_A_HR_03 | 50 | CRITICAL
2026-06-05 05:38:28 | WARD_A_HR_04 | 131 | CRITICAL
2026-06-05 05:38:28 | WARD_A_HR_05 | 123 | CRITICAL
2026-06-05 05:38:29 | WARD_A_HR_01 | 57 | CRITICAL
2026-06-05 05:38:29 | WARD_A_HR_02 | 150 | CRITICAL
2026-06-05 05:38:29 | WARD_A_HR_03 | 73 | NORMAL
2026-06-05 05:38:29 | WARD_A_HR_04 | 82 | NORMAL
2026-06-05 05:38:29 | WARD_A_HR_05 | 145 | CRITICAL
2026-06-05 05:38:30 | WARD_A_HR_01 | 88 | NORMAL
2026-06-05 05:38:30 | WARD_A_HR_02 | 116 | CRITICAL
2026-06-05 05:38:30 | WARD_A_HR_03 | 93 | WARNING
2026-06-05 05:38:30 | WARD_A_HR_04 | 102 | CRITICAL
2026-06-05 05:38:30 | WARD_A_HR_05 | 57 | CRITICAL
2026-06-05 05:38:31 | WARD_A_HR_01 | 64 | NORMAL
2026-06-05 05:38:31 | WARD_A_HR_02 | 54 | CRITICAL
2026-06-05 05:38:31 | WARD_A_HR_03 | 130 | CRITICAL
2026-06-05 05:38:31 | WARD_A_HR_04 | 81 | NORMAL
2026-06-05 05:38:31 | WARD_A_HR_05 | 123 | CRITICAL
2026-06-05 05:38:32 | WARD_A_HR_01 | 52 | CRITICAL
2026-06-05 05:38:32 | WARD_A_HR_02 | 143 | CRITICAL
2026-06-05 05:38:32 | WARD_A_HR_03 | 71 | NORMAL
2026-06-05 05:38:32 | WARD_A_HR_04 | 87 | NORMAL
2026-06-05 05:38:32 | WARD_A_HR_05 | 94 | WARNING
2026-06-05 05:38:33 | WARD_A_HR_01 | 106 | CRITICAL
2026-06-05 05:38:33 | WARD_A_HR_02 | 149 | CRITICAL
2026-06-05 05:38:33 | WARD_A_HR_03 | 104 | CRITICAL
2026-06-05 05:38:33 | WARD_A_HR_04 | 74 | NORMAL
2026-06-05 05:38:33 | WARD_A_HR_05 | 45 | CRITICAL
2026-06-05 05:38:34 | WARD_A_HR_01 | 102 | CRITICAL
2026-06-05 05:38:34 | WARD_A_HR_02 | 144 | CRITICAL
2026-06-05 05:38:34 | WARD_A_HR_03 | 105 | CRITICAL
2026-06-05 05:38:34 | WARD_A_HR_04 | 123 | CRITICAL
2026-06-05 05:38:34 | WARD_A_HR_05 | 126 | CRITICAL
2026-06-05 05:38:35 | WARD_A_HR_01 | 99 | WARNING
2026-06-05 05:38:35 | WARD_A_HR_02 | 67 | NORMAL
2026-06-05 05:38:35 | WARD_A_HR_03 | 80 | NORMAL
2026-06-05 05:38:35 | WARD_A_HR_04 | 134 | CRITICAL
2026-06-05 05:38:35 | WARD_A_HR_05 | 128 | CRITICAL
2026-06-05 05:38:36 | WARD_A_HR_01 | 130 | CRITICAL
2026-06-05 05:38:36 | WARD_A_HR_02 | 128 | CRITICAL
2026-06-05 05:38:36 | WARD_A_HR_03 | 112 | CRITICAL
2026-06-05 05:38:36 | WARD_A_HR_04 | 117 | CRITICAL
2026-06-05 05:38:36 | WARD_A_HR_05 | 146 | CRITICAL
2026-06-05 05:38:37 | WARD_A_HR_01 | 107 | CRITICAL
2026-06-05 05:38:37 | WARD_A_HR_02 | 54 | CRITICAL
2026-06-05 05:38:37 | WARD_A_HR_03 | 63 | NORMAL
2026-06-05 05:38:37 | WARD_A_HR_04 | 115 | CRITICAL
2026-06-05 05:38:37 | WARD_A_HR_05 | 107 | CRITICAL
2026-06-05 05:38:38 | WARD_A_HR_01 | 126 | CRITICAL
2026-06-05 05:38:38 | WARD_A_HR_02 | 150 | CRITICAL
2026-06-05 05:38:38 | WARD_A_HR_03 | 74 | NORMAL
2026-06-05 05:38:38 | WARD_A_HR_04 | 46 | CRITICAL
2026-06-05 05:38:38 | WARD_A_HR_05 | 68 | NORMAL
2026-06-05 05:38:39 | WARD_A_HR_01 | 129 | CRITICAL
2026-06-05 05:38:39 | WARD_A_HR_02 | 89 | NORMAL
2026-06-05 05:38:39 | WARD_A_HR_03 | 105 | CRITICAL
2026-06-05 05:38:39 | WARD_A_HR_04 | 52 | CRITICAL
2026-06-05 05:38:39 | WARD_A_HR_05 | 129 | CRITICAL
2026-06-05 05:38:40 | WARD_A_HR_01 | 61 | NORMAL
2026-06-05 05:38:40 | WARD_A_HR_02 | 61 | NORMAL
2026-06-05 05:38:40 | WARD_A_HR_03 | 73 | NORMAL
2026-06-05 05:38:40 | WARD_A_HR_04 | 80 | NORMAL
2026-06-05 05:38:40 | WARD_A_HR_05 | 131 | CRITICAL
2026-06-05 05:38:41 | WARD_A_HR_01 | 142 | CRITICAL
2026-06-05 05:38:41 | WARD_A_HR_02 | 117 | CRITICAL
2026-06-05 05:38:41 | WARD_A_HR_03 | 111 | CRITICAL
2026-06-05 05:38:41 | WARD_A_HR_04 | 144 | CRITICAL
2026-06-05 05:38:41 | WARD_A_HR_05 | 101 | CRITICAL
2026-06-05 05:38:42 | WARD_A_HR_01 | 94 | WARNING
2026-06-05 05:38:42 | WARD_A_HR_02 | 70 | NORMAL
2026-06-05 05:38:42 | WARD_A_HR_03 | 112 | CRITICAL
2026-06-05 05:38:42 | WARD_A_HR_04 | 71 | NORMAL
2026-06-05 05:38:42 | WARD_A_HR_05 | 87 | NORMAL
2026-06-05 05:38:43 | WARD_A_HR_01 | 142 | CRITICAL
2026-06-05 05:38:43 | WARD_A_HR_02 | 48 | CRITICAL
2026-06-05 05:38:43 | WARD_A_HR_03 | 59 | CRITICAL
2026-06-05 05:38:43 | WARD_A_HR_04 | 97 | WARNING
2026-06-05 05:38:43 | WARD_A_HR_05 | 87 | NORMAL
2026-06-05 05:38:44 | WARD_A_HR_01 | 106 | CRITICAL
2026-06-05 05:38:44 | WARD_A_HR_02 | 124 | CRITICAL
2026-06-05 05:38:44 | WARD_A_HR_03 | 96 | WARNING
2026-06-05 05:38:44 | WARD_A_HR_04 | 77 | NORMAL
2026-06-05 05:38:44 | WARD_A_HR_05 | 124 | CRITICAL
2026-06-05 05:38:45 | WARD_A_HR_01 | 137 | CRITICAL
2026-06-05 05:38:45 | WARD_A_HR_02 | 99 | WARNING
2026-06-05 05:38:45 | WARD_A_HR_03 | 85 | NORMAL
2026-06-05 05:38:45 | WARD_A_HR_04 | 128 | CRITICAL
2026-06-05 05:38:45 | WARD_A_HR_05 | 48 | CRITICAL
2026-06-05 05:38:46 | WARD_A_HR_01 | 50 | CRITICAL
2026-06-05 05:38:46 | WARD_A_HR_02 | 92 | WARNING
2026-06-05 05:38:46 | WARD_A_HR_03 | 147 | CRITICAL
2026-06-05 05:38:46 | WARD_A_HR_04 | 140 | CRITICAL
2026-06-05 05:38:46 | WARD_A_HR_05 | 110 | CRITICAL
2026-06-05 05:38:47 | WARD_A_HR_01 | 130 | CRITICAL
2026-06-05 05:38:47 | WARD_A_HR_02 | 97 | WARNING
2026-06-05 05:38:47 | WARD_A_HR_03 | 67 | NORMAL
2026-06-05 05:38:47 | WARD_A_HR_04 | 92 | WARNING
2026-06-05 05:38:47 | WARD_A_HR_05 | 70 | NORMAL
2026-06-05 05:38:48 | WARD_A_HR_01 | 122 | CRITICAL
2026-06-05 05:38:48 | WARD_A_HR_02 | 102 | CRITICAL
2026-06-05 05:38:48 | WARD_A_HR_03 | 61 | NORMAL
2026-06-05 05:38:48 | WARD_A_HR_04 | 108 | CRITICAL
2026-06-05 05:38:48 | WARD_A_HR_05 | 144 | CRITICAL
2026-06-05 05:38:49 | WARD_A_HR_01 | 68 | NORMAL
2026-06-05 05:38:49 | WARD_A_HR_02 | 53 | CRITICAL
2026-06-05 05:38:49 | WARD_A_HR_03 | 52 | CRITICAL
2026-06-05 05:38:49 | WARD_A_HR_04 | 80 | NORMAL
2026-06-05 05:38:49 | WARD_A_HR_05 | 111 | CRITICAL
2026-06-05 05:38:50 | WARD_A_HR_01 | 124 | CRITICAL
2026-06-05 05:38:50 | WARD_A_HR_02 | 119 | CRITICAL
2026-06-05 05:38:50 | WARD_A_HR_03 | 132 | CRITICAL
2026-06-05 05:38:50 | WARD_A_HR_04 | 136 | CRITICAL
2026-06-05 05:38:50 | WARD_A_HR_05 | 68 | NORMAL
2026-06-05 05:38:51 | WARD_A_HR_01 | 69 | NORMAL
2026-06-05 05:38:51 | WARD_A_HR_02 | 146 | CRITICAL
2026-06-05 05:38:51 | WARD_A_HR_03 | 75 | NORMAL
2026-06-05 05:38:51 | WARD_A_HR_04 | 131 | CRITICAL
2026-06-05 05:38:51 | WARD_A_HR_05 | 92 | WARNING
2026-06-05 05:38:52 | WARD_A_HR_01 | 51 | CRITICAL
2026-06-05 05:38:52 | WARD_A_HR_02 | 118 | CRITICAL
2026-06-05 05:38:52 | WARD_A_HR_03 | 121 | CRITICAL
2026-06-05 05:38:52 | WARD_A_HR_04 | 135 | CRITICAL
2026-06-05 05:38:52 | WARD_A_HR_05 | 78 | NORMAL
2026-06-05 05:38:53 | WARD_A_HR_01 | 131 | CRITICAL
2026-06-05 05:38:53 | WARD_A_HR_02 | 123 | CRITICAL
2026-06-05 05:38:53 | WARD_A_HR_03 | 124 | CRITICAL
2026-06-05 05:38:53 | WARD_A_HR_04 | 124 | CRITICAL
2026-06-05 05:38:53 | WARD_A_HR_05 | 56 | CRITICAL
2026-06-05 05:38:54 | WARD_A_HR_01 | 81 | NORMAL
2026-06-05 05:38:54 | WARD_A_HR_02 | 137 | CRITICAL
2026-06-05 05:38:54 | WARD_A_HR_03 | 148 | CRITICAL
2026-06-05 05:38:54 | WARD_A_HR_04 | 130 | CRITICAL
2026-06-05 05:38:54 | WARD_A_HR_05 | 65 | NORMAL
2026-06-05 05:38:55 | WARD_A_HR_01 | 137 | CRITICAL
2026-06-05 05:38:55 | WARD_A_HR_02 | 110 | CRITICAL
2026-06-05 05:38:55 | WARD_A_HR_03 | 50 | CRITICAL
2026-06-05 05:38:55 | WARD_A_HR_04 | 117 | CRITICAL
2026-06-05 05:38:55 | WARD_A_HR_05 | 145 | CRITICAL
2026-06-05 05:38:56 | WARD_A_HR_01 | 70 | NORMAL
2026-06-05 05:38:56 | WARD_A_HR_02 | 75 | NORMAL
2026-06-05 05:38:56 | WARD_A_HR_03 | 83 | NORMAL
2026-06-05 05:38:56 | WARD_A_HR_04 | 45 | CRITICAL
2026-06-05 05:38:56 | WARD_A_HR_05 | 121 | CRITICAL
2026-06-05 05:38:57 | WARD_A_HR_01 | 142 | CRITICAL
2026-06-05 05:38:57 | WARD_A_HR_02 | 84 | NORMAL
2026-06-05 05:38:57 | WARD_A_HR_03 | 102 | CRITICAL
2026-06-05 05:38:57 | WARD_A_HR_04 | 99 | WARNING
2026-06-05 05:38:57 | WARD_A_HR_05 | 115 | CRITICAL
2026-06-05 05:38:58 | WARD_A_HR_01 | 145 | CRITICAL
2026-06-05 05:38:58 | WARD_A_HR_02 | 110 | CRITICAL
2026-06-05 05:38:58 | WARD_A_HR_03 | 62 | NORMAL
2026-06-05 05:38:58 | WARD_A_HR_04 | 150 | CRITICAL
2026-06-05 05:38:58 | WARD_A_HR_05 | 128 | CRITICAL
2026-06-05 05:38:59 | WARD_A_HR_01 | 68 | NORMAL
2026-06-05 05:38:59 | WARD_A_HR_02 | 132 | CRITICAL
2026-06-05 05:38:59 | WARD_A_HR_03 | 85 | NORMAL
2026-06-05 05:38:59 | WARD_A_HR_04 | 113 | CRITICAL
2026-06-05 05:38:59 | WARD_A_HR_05 | 139 | CRITICAL
2026-06-05 05:39:00 | WARD_A_HR_01 | 87 | NORMAL
2026-06-05 05:39:00 | WARD_A_HR_02 | 146 | CRITICAL
2026-06-05 05:39:00 | WARD_A_HR_03 | 86 | NORMAL
2026-06-05 05:39:00 | WARD_A_HR_04 | 135 | CRITICAL
2026-06-05 05:39:00 | WARD_A_HR_05 | 137 | CRITICAL
2026-06-05 05:39:01 | WARD_A_HR_01 | 148 | CRITICAL
2026-06-05 05:39:01 | WARD_A_HR_02 | 51 | CRITICAL
2026-06-05 05:39:01 | WARD_A_HR_03 | 74 | NORMAL
2026-06-05 05:39:01 | WARD_A_HR_04 | 96 | WARNING
2026-06-05 05:39:01 | WARD_A_HR_05 | 93 | WARNING
2026-06-05 05:39:02 | WARD_A_HR_01 | 71 | NORMAL
2026-06-05 05:39:02 | WARD_A_HR_02 | 113 | CRITICAL
2026-06-05 05:39:02 | WARD_A_HR_03 | 119 | CRITICAL
2026-06-05 05:39:02 | WARD_A_HR_04 | 77 | NORMAL
2026-06-05 05:39:02 | WARD_A_HR_05 | 140 | CRITICAL
2026-06-05 05:39:03 | WARD_A_HR_01 | 150 | CRITICAL
2026-06-05 05:39:03 | WARD_A_HR_02 | 122 | CRITICAL
2026-06-05 05:39:03 | WARD_A_HR_03 | 103 | CRITICAL
2026-06-05 05:39:03 | WARD_A_HR_04 | 131 | CRITICAL
2026-06-05 05:39:03 | WARD_A_HR_05 | 120 | CRITICAL
2026-06-05 05:39:04 | WARD_A_HR_01 | 141 | CRITICAL
2026-06-05 05:39:04 | WARD_A_HR_02 | 146 | CRITICAL
2026-06-05 05:39:04 | WARD_A_HR_03 | 70 | NORMAL
2026-06-05 05:39:04 | WARD_A_HR_04 | 149 | CRITICAL
2026-06-05 05:39:04 | WARD_A_HR_05 | 98 | WARNING
2026-06-05 05:39:05 | WARD_A_HR_01 | 131 | CRITICAL
2026-06-05 05:39:05 | WARD_A_HR_02 | 98 | WARNING
2026-06-05 05:39:05 | WARD_A_HR_03 | 47 | CRITICAL
2026-06-05 05:39:05 | WARD_A_HR_04 | 52 | CRITICAL
2026-06-05 05:39:05 | WARD_A_HR_05 | 146 | CRITICAL
2026-06-05 05:39:06 | WARD_A_HR_01 | 78 | NORMAL
2026-06-05 05:39:06 | WARD_A_HR_02 | 129 | CRITICAL
2026-06-05 05:39:06 | WARD_A_HR_03 | 134 | CRITICAL
2026-06-05 05:39:06 | WARD_A_HR_04 | 66 | NORMAL
2026-06-05 05:39:06 | WARD_A_HR_05 | 112 | CRITICAL
2026-06-05 05:39:07 | WARD_A_HR_01 | 130 | CRITICAL
2026-06-05 05:39:07 | WARD_A_HR_02 | 65 | NORMAL
2026-06-05 05:39:07 | WARD_A_HR_03 | 78 | NORMAL
2026-06-05 05:39:07 | WARD_A_HR_04 | 120 | CRITICAL
2026-06-05 05:39:07 | WARD_A_HR_05 | 104 | CRITICAL
2026-06-05 05:39:08 | WARD_A_HR_01 | 89 | NORMAL
2026-06-05 05:39:08 | WARD_A_HR_02 | 67 | NORMAL
2026-06-05 05:39:08 | WARD_A_HR_03 | 45 | CRITICAL
2026-06-05 05:39:08 | WARD_A_HR_04 | 88 | NORMAL
2026-06-05 05:39:08 | WARD_A_HR_05 | 97 | WARNING
2026-06-05 05:39:09 | WARD_A_HR_01 | 127 | CRITICAL
2026-06-05 05:39:09 | WARD_A_HR_02 | 79 | NORMAL
2026-06-05 05:39:09 | WARD_A_HR_03 | 89 | NORMAL
2026-06-05 05:39:09 | WARD_A_HR_04 | 63 | NORMAL
2026-06-05 05:39:09 | WARD_A_HR_05 | 94 | WARNING
2026-06-05 05:39:10 | WARD_A_HR_01 | 63 | NORMAL
2026-06-05 05:39:10 | WARD_A_HR_02 | 99 | WARNING
2026-06-05 05:39:10 | WARD_A_HR_03 | 75 | NORMAL
2026-06-05 05:39:10 | WARD_A_HR_04 | 72 | NORMAL
2026-06-05 05:39:10 | WARD_A_HR_05 | 80 | NORMAL
