Timestamp | Device_ID | Usage (Liters/min) | Status
2026-06-05 05:37:57 | FACILITY_WATER_MAIN | 43 | HIGH_USAGE
2026-06-05 05:37:57 | ICU_WATER_RESERVE | 30 | NORMAL
2026-06-05 05:37:58 | FACILITY_WATER_MAIN | 25 | NORMAL
2026-06-05 05:37:58 | ICU_WATER_RESERVE | 11 | NORMAL
2026-06-05 05:37:59 | FACILITY_WATER_MAIN | 29 | NORMAL
2026-06-05 05:37:59 | ICU_WATER_RESERVE | 33 | NORMAL
2026-06-05 05:38:00 | FACILITY_WATER_MAIN | 40 | HIGH_USAGE
2026-06-05 05:38:00 | ICU_WATER_RESERVE | 39 | HIGH_USAGE
2026-06-05 05:38:01 | FACILITY_WATER_MAIN | 36 | HIGH_USAGE
2026-06-05 05:38:01 | ICU_WATER_RESERVE | 21 | NORMAL
2026-06-05 05:38:02 | FACILITY_WATER_MAIN | 41 | HIGH_USAGE
2026-06-05 05:38:02 | ICU_WATER_RESERVE | 12 | NORMAL
2026-06-05 05:38:03 | FACILITY_WATER_MAIN | 12 | NORMAL
2026-06-05 05:38:03 | ICU_WATER_RESERVE | 38 | HIGH_USAGE
2026-06-05 05:38:04 | FACILITY_WATER_MAIN | 21 | NORMAL
2026-06-05 05:38:04 | ICU_WATER_RESERVE | 19 | NORMAL
2026-06-05 05:38:05 | FACILITY_WATER_MAIN | 11 | NORMAL
2026-06-05 05:38:05 | ICU_WATER_RESERVE | 8 | NORMAL
2026-06-05 05:38:06 | FACILITY_WATER_MAIN | 45 | HIGH_USAGE
2026-06-05 05:38:06 | ICU_WATER_RESERVE | 28 | NORMAL
2026-06-05 05:38:07 | FACILITY_WATER_MAIN | 33 | NORMAL
2026-06-05 05:38:07 | ICU_WATER_RESERVE | 29 | NORMAL
2026-06-05 05:38:08 | FACILITY_WATER_MAIN | 35 | NORMAL
2026-06-05 05:38:08 | ICU_WATER_RESERVE | 16 | NORMAL
2026-06-05 05:38:09 | FACILITY_WATER_MAIN | 20 | NORMAL
2026-06-05 05:38:09 | ICU_WATER_RESERVE | 30 | NORMAL
2026-06-05 05:38:10 | FACILITY_WATER_MAIN | 31 | NORMAL
2026-06-05 05:38:10 | ICU_WATER_RESERVE | 21 | NORMAL
2026-06-05 05:38:11 | FACILITY_WATER_MAIN | 44 | HIGH_USAGE
